PlantID,Project,County,WRA,TurbineCount,TurbineID,Manufacturer,Model,RotorArea_m2,Capacity_kW,GroupCapacity_kW,GroupCF
W0275,85A,Kern,Tehachapi,157,Remote 2,Vestas,V17,227,90,14130,0.129003338
W0276,85B,Kern,Tehachapi,235,Remote 1,Vestas,V17,227,90,21150,0.110889862
W0370,Alta I Wind Energy Center,Kern,Tehachapi,100,AW1,General Electric,GE 1.5 SLE,4657,"1,500",150000,0.316915895
W0372,Alta II Wind Energy Center,Kern,Tehachapi,50,AW2,Vestas,V90,6362,"3,000",150000,0.275319412
W0387,Alta III Wind Energy Center,Kern,Tehachapi,50,AW3,Vestas,V90,6362,"3,000",150000,0.291523285
W0388,Alta IV Wind Energy Center,Kern,Tehachapi,34,AW4,Vestas,V90,6362,"3,000",102000,0.206994474
W0389,Alta V Wind Energy Center,Kern,Tehachapi,56,AW5,Vestas,V90,6362,"3,000",168000,0.20144099
W0393,"Alta Wind VIII, LLC",Kern,Tehachapi,50,VE250 to VE299,Vestas,V90,6362,"3,000",150000,0.226654346
W0441,Alta X Wind Energy Center,Kern,Tehachapi,48,AW10,General Electric,GE 2.85,8332,"2,850",136800,0.310776111
W0442,Alta XI Wind Energy Center,Kern,Tehachapi,41,AW11,General Electric,GE 1.7,8012,"1,700",69700,0.353172994
W0442,Alta XI Wind Energy Center,Kern,Tehachapi,7,AW11,General Electric,GE 2.85,8332,"2,850",19950,0.353172994
W0292,Altech III,Riverside,San Gorgonio,53,Altwind Sub,Micon,M65/13,177,65,3445,0.223795871
W0292,Altech III,Riverside,San Gorgonio,201,Altwind Sub,Micon,108,293,108,21708,0.223795871
W0398,Anheuser-Busch,Solano,Outside of Existing,1,1,General Electric,GE 1.5 SLE,4657,"1,500",1500,0.182078704
W0456,Anheuser-Busch #2,Solano,Outside of Existing,1,1,General Electric,GE 1.85,5345,"1,600",1600,0.282914532
W0426,Buena Vista Energy LLC,Contra Costa,Altamont,38,Buena Vista,Mitsubishi Heavy Industries,1000a,2960,"1,000",38000,0.284496723
W0452,Cabazon Wind,Riverside,San Gorgonio,1,WT,RRB,600,2209,600,600,0.401297814
W0452,Cabazon Wind,Riverside,San Gorgonio,51,WT,ZOND,Z-750,2304,750,38250,0.401297814
W0258,"Cabazon Wind Partners, LLC",Riverside,San Gorgonio,62,All,Vestas,V47,1735,660,40920,0.325109898
W0407,Cameron Ridge,Kern,Tehachapi,34,Micon 108,Micon,108,281,108,3672,0.342343687
W0407,Cameron Ridge,Kern,Tehachapi,80,Micon 700,Micon,700,1521,700,56000,0.342343687
W0403,Cemex BMQ,San Bernardino,Other Resource Area,2,GE 1.5 SLE,General Electric,GE 1.5 SLE,4657,"1,500",3000,0.128768025
W0399,Cemex Madison,Yolo,Other Resource Area,1,1,General Electric,GE 1.5 SLE,4657,"1,000",1000,0.181880351
W0404,Cemex River Plant,San Bernardino,Other Resource Area,2,1,General Electric,GE 1.62 SLE,5346,"1,620",3240,0.104447305
W0455,City of Soledad,Monterey,Other Resource Area,1,1,General Electric,GE 1.85 SLE,5345,"1,000",1000,0.49029679
W0408,"Coram California Development, L.P.",Kern,Tehachapi,34,WTG01 to WTG34,Vestas,V90,6362,"3,000",102000,0.319686796
W0463,Coram Energy LLC,Kern,Tehachapi,10,BT 3,General Electric,GE 1.5,4657,"1,500",15000,0.385208235
W0445,Coram Tehachapi LP,Kern,Tehachapi,29,BT 4,Vestas,V27,573,225,6525,0.245879778
W0423,Diablo Wind LLC,Alameda,Altamont,31,Vesta V-47,Vestas,V47,1735,580,17980,0.187089835
W0365,Difwind Farms LTD I,Riverside,San Gorgonio,67,All,Micon,108,293,108,7236,0.186578712
W0366,Difwind Farms LTD II,Riverside,San Gorgonio,36,All,Micon,M65/13,201,65,2340,0.137414949
W0366,Difwind Farms LTD II,Riverside,San Gorgonio,28,All,Micon,108,293,108,3024,0.137414949
W0386,Difwind Farms LTD V,Riverside,San Gorgonio,107,All,Micon,108,293,108,11556,0.137295466
W0374,Difwind Farms LTD VI,Kern,Tehachapi,209,All,Micon,108,293,108,22572,0.193705103
W0364,Dillon Wind,Riverside,San Gorgonio,45,All,Mitsubishi Power System Inc,MWT-1000,2690,"1,000",45000,0.360714473
W0439,Dutch Energy Wind Farm,Riverside,San Gorgonio,19,Dutch,NedWind,NedWind 40,1256,500,9500,0.22710289
W0278,East Winds Project,Riverside,San Gorgonio,7,All,NEG Micon,NM1500,1452,600,4200,0.255127279
W0380,EDF Renewable Windfarm V Inc,Solano,Solano,65,Kenetech,Kenetech,86-100,229,100,6500,0.264866563
W0380,EDF Renewable Windfarm V Inc,Solano,Solano,6,GE,General Electric,GE 1.5,4657,"1,500",9000,0.264866563
W0391,"Edom Hills Project 1, LLC",Riverside,San Gorgonio,8,Edom 1-8,Clipper,Liberty C93,6793,"2,500",20000,0.258393312
W0268,EUIPH Wind Farm,Riverside,San Gorgonio,59,Bonus 65,Bonus,65,181,65,3835,0.212475057
W0268,EUIPH Wind Farm,Riverside,San Gorgonio,22,Micon 108,Micon,105,246,108,2376,0.212475057
W0268,EUIPH Wind Farm,Riverside,San Gorgonio,64,Bonus 120,Bonus,B19/120,246,120,7680,0.212475057
W0268,EUIPH Wind Farm,Riverside,San Gorgonio,9,Nordtank 150,Nordtank,150,200,150,1350,0.212475057
W0268,EUIPH Wind Farm,Riverside,San Gorgonio,10,Nordex 1000,Nordex,1000,2122,"1,000",10000,0.212475057
W0371,FPL Energy Montezuma Winds LLC,Solano,Solano,16,1,Siemens,SWT-2.3-93,6789,"2,300",36800,0.280241435
W0440,Garnet Wind Energy Center,Riverside,San Gorgonio,13,Garnet,NedWind,NedWind 40,1256,500,6500,0.329104806
W0390,Golden Acorn Casino,San Diego,East San Diego,1,1,General Electric,GE 1.85 SLE,5345,"1,000",1000,0.403617372
W0461,Golden Hills,Alameda,Altamont,48,1,General Electric,GE 1.79 MW,7450,"1,790",85920,0.374494449
W0299,Green Power I,Riverside,San Gorgonio,2,WT,RRB,600,2209,600,1200,0.158842995
W0299,Green Power I,Riverside,San Gorgonio,20,WT,ZOND,Z-750,1963,750,15000,0.158842995
W0369,"Hatchet Ridge Wind, LLC",Shasta,Other Resource Area,44,HRW,Siemens,SWT-2.3-93,6797,"2,300",101200,0.328265954
W0429,Helzel & Schwarzhoff 88,Kern,Tehachapi,20,MM4-MM5,Vestas,V17,227,75,1500,0.20725787
W0355,High Winds,Solano,Solano,90,All,Vestas,V80,5024,"1,800",162000,0.220859181
W0397,IEUA,San Bernardino,Other Resource Area,1,1,Mitsubishi,MWT-1000,2961,"1,000",1000,0.071750455
W0354,International Turbine Research Inc.,Merced,Pacheco,20,316-337,Vestas,V17,227,90,1800,0.249260315
W0354,International Turbine Research Inc.,Merced,Pacheco,20,101-120,Vestas,V17E,278,110,2200,0.249260315
W0354,International Turbine Research Inc.,Merced,Pacheco,10,501-510,Nordtank,NTK 65-13,216,75,750,0.249260315
W0354,International Turbine Research Inc.,Merced,Pacheco,15,301-315,Nordtank,NTK 65-13,216,75,1125,0.249260315
W0354,International Turbine Research Inc.,Merced,Pacheco,92,201-296,Wincon,W108,301,110,10120,0.249260315
W0354,International Turbine Research Inc.,Merced,Pacheco,4,401-404,Wincon,W200,452,240,960,0.249260315
W0354,International Turbine Research Inc.,Merced,Pacheco,1,601,Nordtank,NTK500/41,1325,575,575,0.249260315
W0354,International Turbine Research Inc.,Merced,Pacheco,1,901,NEG Micon,NM900,2140,900,900,0.249260315
W0286,Karen Avenue Wind Farm,Riverside,San Gorgonio,6,V39s,Vestas,V39,1195,450,2700,0.337603007
W0286,Karen Avenue Wind Farm,Riverside,San Gorgonio,6,GE1.5s,General Electric,GE 1.5,3904,"1,500",9000,0.337603007
W0359,Kumeyaay Wind Farm,San Diego,East San Diego,25,Kumeyaay,Gamesa,G87/2000,5945,"2,000",50000,0.327308083
W0420,Manzana Wind,Kern,Tehachapi,126,All,General Electric,GE 1.5 SLE,4657,"1,500",189000,0.325581908
W0260,Mesa Wind Power Corporation,Riverside,San Gorgonio,460,30 WTGs,Vestas,V15,177,65,29900,0.027822573
W0259,Mogul Energy,Kern,Tehachapi,8,All,Mitsubishi,MWT-500,1257,500,4000,0.025846198
W0313,"Mojave 16, 17, 18",Kern,Tehachapi,267,MHI 250,Mitsubishi,MWT-250,616,250,66750,0.184553172
W0313,"Mojave 16, 17, 18",Kern,Tehachapi,28,MHI 600,Mitsubishi,MWT-600,1590,600,16800,0.184553172
W0312,Mojave 3,Kern,Tehachapi,94,WT,Mitsubishi,MWT-250,616,250,23500,0.317993291
W0443,Mojave 4,Kern,Tehachapi,116,WT,Mitsubishi,MWT-250,616,250,29000,0.319252595
W0444,Mojave 5,Kern,Tehachapi,90,WT,Mitsubishi,MWT-250,616,250,22500,0.336904336
W0392,Montezuma Wind II,Solano,Solano,34,1,Siemens,SWT-2.3-93,6789,"2,300",78200,0.221342778
W0450,Mountain View I,Riverside,San Gorgonio,74,MWT-600,Mitsubishi,MWT-600,1590,600,44400,0.333699504
W0451,Mountain View II,Riverside,San Gorgonio,37,74-01,Mitsubishi,MWT-600,1590,600,22200,0.323641608
W0360,Mountain View III,Riverside,San Gorgonio,34,All,Vestas,V47,1735,660,22440,0.37414581
W0430,Mountain View IV,Riverside,San Gorgonio,49,A01,Mitsubishi,MWT-1000,2960,"1,000",49000,0.406254663
W0406,Mustang Hills LLC,Kern,Tehachapi,50,6319,Vestas,V90,6362,"3,000",150000,0.23875889
W0402,Nestle Waters,Riverside,San Gorgonio,2,1,General Electric,GE 1.6 XLE,5346,"1,620",3240,0.48454183
